id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,Traffic_Labeled,proto_encoded,conn_state_encoded,history_encoded
162.248.88.215,62336,192.168.1.195,5222,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,993,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,60337,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,40947,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,51310,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,81.2.254.32,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,15007,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,21,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,6668,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,42094,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,37001,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,445,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,25412,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,37841,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,12505,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,993,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,52408,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,8925,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,89.221.210.188,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,57252,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,585,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,37746,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,39981,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,34133,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,585,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,46828,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,89.221.210.188,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,35042,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,993,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,4701,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,8226,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,20000,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,3128,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,21127,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,42732,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,20081,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,6668,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,587,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,24506,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,22,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,89.221.210.188,123,udp,S0,D,2,152,0,0,Benign,1,,3.0
162.248.88.215,62336,192.168.1.195,6667,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,24490,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,88,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,63669,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,30264,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,53364,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,5222,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,53,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,46741,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,4896,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,6669,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,8000,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,31.31.74.35,123,udp,S0,D,2,152,0,0,Benign,1,,3.0
192.168.1.195,12975,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,992,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,5223,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,6669,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,631,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,88,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,139,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,89.221.210.188,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,39206,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,16269,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,42746,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,25,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,50476,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,317,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,13409,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,33828,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,143,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,53,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,45899,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,3128,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,62867,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,44874,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,26379,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,6666,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,56533,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,4852,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,62622,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,995,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,81,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,20289,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,45521,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,31.31.74.35,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,54396,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,10743,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,143,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,5269,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,36232,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,135,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,46574,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,33287,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,43282,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,38551,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,587,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,13669,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,65161,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,52536,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,143,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,31701,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,20000,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,31.31.74.35,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
162.248.88.215,62336,192.168.1.195,443,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,27927,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,88,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,139,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,64865,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,12850,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,614,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,6668,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,12570,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,64409,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,14305,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.1,47805,192.168.1.195,22,tcp,SF,DdAaFf,400,26336,268,36368,Benign,0,0.0,4.0
192.168.1.195,9001,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,89.221.210.188,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
162.248.88.215,62336,192.168.1.195,563,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,995,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,45079,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,53,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,2811,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,995,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,31.31.74.35,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
162.248.88.215,62336,192.168.1.195,8888,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,25471,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,35887,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,29769,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,5222,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,40487,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,6667,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,6681,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,123,89.221.218.101,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
162.248.88.215,62336,192.168.1.195,502,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,212.111.30.190,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,25942,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,3128,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,990,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,20000,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,6667,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,563,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,89.221.210.188,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
162.248.88.215,62336,192.168.1.195,993,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,123,89.221.218.101,123,udp,SF,Dd,2,152,2,152,Benign,1,0.0,2.0
192.168.1.195,9447,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,5222,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,81,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,26961,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,88,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,24917,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,55986,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,53,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,81,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,995,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,45920,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,25990,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,61249,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,1462,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,7065,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
192.168.1.195,37471,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,143,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,34329,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,21,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
192.168.1.195,15123,162.248.88.215,62336,tcp,OTH,C,0,0,0,0, Malicious,0,1.0,0.0
162.248.88.215,62336,192.168.1.195,585,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,587,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,5222,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,6666,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
162.248.88.215,62336,192.168.1.195,631,tcp,OTH,^c,0,0,0,0,Benign,0,1.0,1.0
